Req ID,Linked Item,Requirement,Formalized Requirement,,,,
1152,SwC_TfColAct,"The transformer cooling shall be activated when the AC LCB is closed, and the 3-phase bus is active.","if(PAV_S_UAyBus = TRUE)
then(HQV_C_TfColAct = TRUE and HCV_S_AcLcbCld = TRUE)",,,,
1152,SwC_TfColAct,The transformer cooling shall be activated when the 3-phase bus is active independent of the AC LCB if the transformer oil temperature exceeds [PH_TfOilFrcCol] °C until the temperature falls below [PH_TfOilNFrcCol] °C.,"if(HQV_XH_TfOil > PH_TfOilFrcCol)
then(HQV_C_TfColAct = TRUE and PAV_S_UAyBus = TRUE)
until(HQV_XH_TfOil < PH_TfOilNFrcCol)",,,,
1153,SwC_TfColAct,"The transformer cooling shall be inhibited to be activated when

- too low oil level is detected OR

- transformer overpressure is detected","if(HQV_S_TfOilLvLLo = TRUE or HQV_S_TfOvPrs = TRUE)
then(HQV_C_TfColAct = TRUE)",,,,"
"
1158,SwC_TfOilPmp,"The oil pump shall be activated when the transformer cooling is activated and transformer preheating is not active.
","if(HQV_C_TfColAct = TRUE and HQV_S_TfPreheat = FALSE)
then(HQV_C_TfOilPmp = TRUE)",,,,
1161,SwC_TfOilPmpSv,"Event """"Transformer oil pump contactor on fault or MCB tripped"""" shall be indicated with 2 s delay when the oil pump is activated.
","if(CI_DI_S_TfOilPmp = TRUE)
then(HQV_E_TfOilPmpCtOn = TRUE)",,,,
1162,SwC_TfOilPmpSv,"Event """"Transformer oil pump contactor off fault"""" shall be indicated with 2 s delay when the oil pump is not activated.
","if(CI_DI_S_TfOilPmp = FALSE) 
then(HQV_E_TfOilPmpCtOff = TRUE)",,,,
2048,SwC_TfPreheatAct,Preheat of the main transformer shall be enabled when the initial main transformer oil temperature (minimum value) is below the very low temperature limit or when the transformer oil temperature is invalid.,"if(HQV_XH_TfOilMin < very low temperature limit or HQV_VH_TfOil = FALSE) 
then(HQV_C_TfPreheat = TRUE)",,,,
1185,SwC_TfLowOilTp,"The AC LCB shall be opened, and the transformer shall be isolated and event """"No transformer oil flow during too long time"""" shall be indicated when the power has been limited caused by event """"Power limited due to no oil flow at low oil temperature"""" during longer than 7200 s.","if(HQV_E_TfLowOilTpPMax = TRUE) 
then(HQV_C_AcLcbOpTfLowOilTp = TRUE and HQV_C_IslTfLowOilTp = TRUE and HQV_E_TfNoFlw = TRUE)",,,,"
"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,"
"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,"
"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,"
"
